,player_id,season,week,player_display_name,position,True rushing_yards,Projected rushing_yards,Average rushing_yards,STD rushing_yards,True rushing_tds,Projected rushing_tds,Average rushing_tds,STD rushing_tds,True rushing_fumbles_lost,Projected rushing_fumbles_lost,Average rushing_fumbles_lost,STD rushing_fumbles_lost,True receiving_yards,Projected receiving_yards,Average receiving_yards,STD receiving_yards,True receiving_tds,Projected receiving_tds,Average receiving_tds,STD receiving_tds,True receptions,Projected receptions,Average receptions,STD receptions,True receiving_fumbles_lost,Projected receiving_fumbles_lost,Average receiving_fumbles_lost,STD receiving_fumbles_lost,True passing_yards,Projected passing_yards,Average passing_yards,STD passing_yards,True passing_tds,Projected passing_tds,Average passing_tds,STD passing_tds,True passing_interceptions,Projected passing_interceptions,Average passing_interceptions,STD passing_interceptions
0,00-0023459,2024,1,Aaron Rodgers,QB,-1,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,167.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,1.0,0.753970408129517,0.0,0.0
4,00-0026498,2024,1,Matthew Stafford,QB,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,317.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,1.0,0.753970408129517,0.0,0.0
8,00-0027973,2024,1,Andy Dalton,QB,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,0,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,0,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,168.01269842131362,0.0,0.0,0.0,0.9990610214152421,0.0,0.0,0.0,0.6450737571674326,0.0,0.0
12,00-0028118,2024,1,Tyrod Taylor,QB,7,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,0,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,0,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,36.0,168.01269842131362,0.0,0.0,1.0,0.9990610214152421,0.0,0.0,0.0,0.6450737571674326,0.0,0.0
16,00-0029604,2024,1,Kirk Cousins,QB,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,155.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,2.0,0.753970408129517,0.0,0.0
20,00-0030035,2024,1,Adam Thielen,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,49,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,3,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,00-0030061,2024,1,Zach Ertz,TE,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,28,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,3,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,00-0030279,2024,1,Keenan Allen,WR,0,10.556801596460831,0.0,0.0,0,0.08041828341531933,0.0,0.0,0,0.01815531506794938,0.0,0.0,29,25.315235239645766,0.0,0.0,0,0.15782800878614323,0.0,0.0,4,2.1628410272030276,0.0,0.0,0.0,0.009468930135474868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,00-0030506,2024,1,Travis Kelce,TE,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,34,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,3,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,00-0030564,2024,1,DeAndre Hopkins,WR,0,11.032887190451225,0.0,0.0,0,0.0757830900459295,0.0,0.0,0,0.021164144327245824,0.0,0.0,8,26.600824738191207,0.0,0.0,0,0.16818377753444144,0.0,0.0,1,2.306028215954072,0.0,0.0,0.0,0.010353408185984089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
